canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-A719F0D3C4DA,74594,275,279,277.0,1.5018262206843522e-06,0.0,0.0024509803921568627,0.8308823529411764
ATP-HTVS-A7693842EDE7,83074,113,447,280.0,0.010471107867166474,1.0,0.20465686274509803,0.8290441176470589
ATP-HTVS-FE5B2EC4EA23,74370,85,475,280.0,0.014276735510380624,1.0,0.23897058823529413,0.8290441176470588
ATP-HTVS-EFE421C91038,75778,436,124,280.0,0.009137110726643598,1.0,0.19117647058823528,0.8290441176470589
ATP-HTVS-193F5213E1F4,63266,420,144,282.0,0.007150194636678202,1.0,0.16911764705882354,0.8278186274509804
ATP-HTVS-3B591F4F1DA1,4259,417,152,284.5,0.006591609146722415,1.0,0.16237745098039216,0.8262867647058824
ATP-HTVS-736CCC940701,87841,61,509,285.0,0.01883890811226452,1.0,0.27450980392156865,0.8259803921568627
ATP-HTVS-98C6C787C9CA,97922,3,574,288.5,0.030603557676134176,1.0,0.34987745098039214,0.8238357843137255
ATP-HTVS-D51006C467E8,12578,166,417,291.5,0.00591353460808343,1.0,0.15379901960784315,0.8219975490196079
ATP-HTVS-4AF467728185,61602,328,257,292.5,0.00047316912365436367,1.0,0.04350490196078431,0.8213848039215685
ATP-HTVS-8E1A44B1E9FD,75361,557,30,293.5,0.02606879340277778,1.0,0.3229166666666667,0.8207720588235294
ATP-HTVS-F4EB0A3B6A53,75779,100,491,295.5,0.01435004340277778,1.0,0.23958333333333334,0.819546568627451
ATP-HTVS-75A4DAB7424E,78401,120,472,296.0,0.011630142252979625,1.0,0.21568627450980393,0.8192401960784315
ATP-HTVS-E0D09F3A28CB,93633,254,338,296.0,0.0006623053633217993,1.0,0.051470588235294115,0.8192401960784313
ATP-HTVS-45A004EDB829,35234,501,102,301.5,0.014943264759948095,1.0,0.24448529411764705,0.8158700980392157
ATP-HTVS-BA05F8BAE026,80994,33,572,302.5,0.027269503466214914,1.0,0.33026960784313725,0.8152573529411764
ATP-HTVS-27BC230C206A,95937,19,587,303.0,0.030282823913879275,1.0,0.3480392156862745,0.8149509803921569
ATP-HTVS-C4778BDFFC37,75843,154,469,311.5,0.009313669171712804,1.0,0.19301470588235295,0.8097426470588236
